Event,Desc
UNC_H_AG1_AD_CRD_ACQUIRED.TGR3,CMS Agent1 AD Credits Acquired For Transgress 3
UNC_H_AG1_AD_CRD_ACQUIRED.TGR4,CMS Agent1 AD Credits Acquired For Transgress 4
UNC_H_AG1_AD_CRD_ACQUIRED.TGR5,CMS Agent1 AD Credits Acquired For Transgress 5
UNC_H_AG1_AD_CRD_ACQUIRED.TGR6,CMS Agent1 AD Credits Acquired For Transgress 6
UNC_H_AG1_AD_CRD_ACQUIRED.TGR7,CMS Agent1 AD Credits Acquired For Transgress 7
UNC_H_AG1_AD_CRD_ACQUIRED_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent1 AD Credits Acquired For Transgress 0-7
UNC_H_AG1_AD_CRD_ACQUIRED_EXT.TGR8,CMS Agent1 AD Credits Acquired For Transgress 8
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR0,CMS Agent1 AD Credits Occupancy For Transgress 0
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR1,CMS Agent1 AD Credits Occupancy For Transgress 1
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR2,CMS Agent1 AD Credits Occupancy For Transgress 2
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR3,CMS Agent1 AD Credits Occupancy For Transgress 3
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR4,CMS Agent1 AD Credits Occupancy For Transgress 4
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR5,CMS Agent1 AD Credits Occupancy For Transgress 5
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR6,CMS Agent1 AD Credits Occupancy For Transgress 6
UNC_H_AG1_AD_CRD_OCCUPANCY.TGR7,CMS Agent1 AD Credits Occupancy For Transgress 7
UNC_H_AG1_AD_CRD_OCCUPANCY_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent1 AD Credits Occupancy For Transgress 0-7
UNC_H_AG1_AD_CRD_OCCUPANCY_EXT.TGR8,CMS Agent1 AD Credits Occupancy For Transgress 8
UNC_H_AG1_BL_CRD_ACQUIRED.TGR0,CMS Agent1 BL Credits Acquired For Transgress 0
UNC_H_AG1_BL_CRD_ACQUIRED.TGR1,CMS Agent1 BL Credits Acquired For Transgress 1
UNC_H_AG1_BL_CRD_ACQUIRED.TGR2,CMS Agent1 BL Credits Acquired For Transgress 2
UNC_H_AG1_BL_CRD_ACQUIRED.TGR3,CMS Agent1 BL Credits Acquired For Transgress 3
UNC_H_AG1_BL_CRD_ACQUIRED.TGR4,CMS Agent1 BL Credits Acquired For Transgress 4
UNC_H_AG1_BL_CRD_ACQUIRED.TGR5,CMS Agent1 BL Credits Acquired For Transgress 5
UNC_H_AG1_BL_CRD_ACQUIRED.TGR6,CMS Agent1 BL Credits Acquired For Transgress 6
UNC_H_AG1_BL_CRD_ACQUIRED.TGR7,CMS Agent1 BL Credits Acquired For Transgress 7
UNC_H_AG1_BL_CRD_ACQUIRED_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent1 BL Credits Acquired For Transgress 0-7
UNC_H_AG1_BL_CRD_ACQUIRED_EXT.TGR8,CMS Agent1 BL Credits Acquired For Transgress 8
